Area,Price
44,60491
51,138554
52,164575
61,114562
62,183535
63,128114
67,176127
71,169150
71,133863
75,159500
82,160257
83,104837
84,131006
90,160216
91,179666
91,131675
100,201705
104,185781
107,197936
108,205262
113,202745
123,193492
129,232835
133,235440
137,209676
138,295955
138,277417
149,309384
151,236163
157,281214
158,293903
161,244703
162,274648
168,317656
169,314779
140,417221
182,294841
199,478826
200,497068
203,404087
203,389146
204,428365
210,479635
224,530226
224,456296
231,584056
239,589907
270,685462
291,450913
342,661588
